SiteID,Lat,Long,Elev,MTAnn,Pann,pH,OrgC,NTOT,PTOT,K,Clay,Silt,Sand,Sdep
KL10,-31.4126,117.7552,381,17.1,335,5.6,0.44,0.022,23,0.06,2.8,1.8,95.4,9
KL11,-31.4049,117.759,385,17.1,335,5.5,0.62,0.027,20,0.04,1.8,0.9,97.3,2
KL12,-31.3774,117.9337,276,17.7,304,7.4,1.1,0.072,76,1.22,4.1,5.4,90.5,2
KL13,-31.7325,117.7831,307,17.1,321,5.9,1.18,0.061,53,0.25,3.3,2.9,93.8,2
KL14,-32.123,117.7769,375,16.3,353,5.5,0.5,0.024,18,0.13,2.8,2.5,94.8,6
KL15,-32.1225,117.7793,374,16.3,353,5.8,0.97,0.036,21,0.14,2.8,1.5,95.7,2
KL18,-31.5324,118.0835,263,17.7,306,8.4,2.57,0.172,160,2.43,1.9,6.8,91.3,2
KL19,-31.4475,117.7788,342,17.3,326,6.2,1.32,0.064,62,0.35,4.6,3.7,91.7,2
KL20,-31.9696,118.339,324,16.9,331,6.6,2.73,0.096,85,0.23,6.8,3.8,89.4,1
KL21,-31.9697,118.3404,324,16.9,331,5.4,2.42,0.077,55,0.2,12.3,3.4,84.3,1
KL22,-31.9689,118.3415,325,16.9,332,5.5,1.32,0.056,44,0.17,2.2,3.7,94.2,5
KL23,-31.9826,118.3393,320,16.9,330,5.2,0.84,0.038,27,0.11,1.3,5.3,93.4,9
KL24,-31.9841,118.4121,377,16.6,340,5.5,0.98,0.06,46,0.26,5.8,4.6,89.6,2
KL25,-31.2571,118.1379,352,17.5,302,5.4,0.62,0.031,35,0.09,3.2,3.2,93.5,9
KL26,-32.0896,117.6976,298,16.7,337,6.6,0.83,0.043,49,0.24,2.8,3.3,93.9,9
KL27,-32.0892,117.693,295,16.8,337,5.8,0.54,0.037,32,0.09,3.2,2.6,94.1,7
KL30,-32.1232,117.7807,373,16.3,352,5.9,0.59,0.027,24,0.12,2.3,2.5,95.2,2
KL31,-32.1238,117.7846,370,16.3,352,6.4,2.47,0.103,70,0.25,2.2,2.4,95.4,1
