SiteID,Lat,Long,SpCode,CC,Family,Genus,Species,Name,lifeform
KN13,-32.3967,118.8183,PTIGAU,,Amaranthaceae,Ptilotus,gaudichaudii,Ptilotus gaudichaudii,shrub
KN13,-32.3967,118.8183,PTIAER,,Amaranthaceae,Ptilotus,aervoides,Ptilotus aervoides,shrub
KN17,-32.4985,118.5564,PTIHOL,,Amaranthaceae,Ptilotus,holosericeus,Ptilotus holosericeus,shrub
KN18,-32.4966,118.559,PTIHOL,,Amaranthaceae,Ptilotus,holosericeus,Ptilotus holosericeus,shrub
KN23,-32.3511,118.1265,PTISPA,,Amaranthaceae,Ptilotus,spathulatus,Ptilotus spathulatus,shrub
KN29,-32.3508,117.8415,PTISPA,,Amaranthaceae,Ptilotus,spathulatus,Ptilotus spathulatus,shrub
KN43,-32.3563,117.8423,PTIMAN,,Amaranthaceae,Ptilotus,manglesii,Ptilotus manglesii,shrub
LK20,-33.0885,119.6619,PTISPA,,Amaranthaceae,Ptilotus,spathulatus,Ptilotus spathulatus,shrub
LK24,-33.2615,119.7578,PTIPOL,,Amaranthaceae,Ptilotus,polystachyus,Ptilotus polystachyus,shrub
LK24,-33.2615,119.7578,PTISPA,,Amaranthaceae,Ptilotus,spathulatus,Ptilotus spathulatus,shrub
ML01,-28.9807,115.0441,PTISTI,,Amaranthaceae,Ptilotus,stirlingii,Ptilotus stirlingii,shrub
ML04,-28.9421,115.5474,PTIGAU,,Amaranthaceae,Ptilotus,gaudichaudii,Ptilotus gaudichaudii,shrub
ML05,-28.626,115.6444,PTIGAU,,Amaranthaceae,Ptilotus,gaudichaudii,Ptilotus gaudichaudii,shrub
ML05,-28.626,115.6444,PTIDRU,,Amaranthaceae,Ptilotus,drummondii,Ptilotus drummondii,shrub
ML05,-28.626,115.6444,PTIHUM,,Amaranthaceae,Ptilotus,humilis,Ptilotus humilis,shrub
ML06,-28.4774,115.5057,PTIPOL,,Amaranthaceae,Ptilotus,polystachyus,Ptilotus polystachyus,shrub
ML06,-28.4774,115.5057,PTIOBO,,Amaranthaceae,Ptilotus,obovatus,Ptilotus obovatus,shrub
ML06,-28.4774,115.5057,PTIGAU,,Amaranthaceae,Ptilotus,gaudichaudii,Ptilotus gaudichaudii,shrub
ML08,-28.3091,115.3762,PTIPOL,,Amaranthaceae,Ptilotus,polystachyus,Ptilotus polystachyus,shrub
ML14,-28.9478,115.5487,PTIGAU,,Amaranthaceae,Ptilotus,gaudichaudii,Ptilotus gaudichaudii,shrub
ML15,-28.9597,115.5499,PTIDIV,,Amaranthaceae,Ptilotus,divaricatus,Ptilotus divaricatus,shrub
ML15,-28.9597,115.5499,PTIOBO,,Amaranthaceae,Ptilotus,obovatus,Ptilotus obovatus,shrub
ML18,-28.8269,115.4458,PTIGAU,,Amaranthaceae,Ptilotus,gaudichaudii,Ptilotus gaudichaudii,shrub
ML18,-28.8269,115.4458,PTIPOL,,Amaranthaceae,Ptilotus,polystachyus,Ptilotus polystachyus,shrub
ML20,-29.1822,115.4139,PTIMAN,,Amaranthaceae,Ptilotus,manglesii,Ptilotus manglesii,shrub
ML23,-28.615,115.9547,PTIHUM,,Amaranthaceae,Ptilotus,humilis,Ptilotus humilis,shrub
ML23,-28.615,115.9547,PTIGAU,,Amaranthaceae,Ptilotus,gaudichaudii,Ptilotus gaudichaudii,shrub
ML24,-28.6338,115.6367,PTIGAU,,Amaranthaceae,Ptilotus,gaudichaudii,Ptilotus gaudichaudii,shrub
ML24,-28.6338,115.6367,PTISTI,,Amaranthaceae,Ptilotus,stirlingii,Ptilotus stirlingii,shrub
MN01,-31.7416,119.0839,PTIHOL,,Amaranthaceae,Ptilotus,holosericeus,Ptilotus holosericeus,shrub
MN01,-31.7416,119.0839,PTIGAU,,Amaranthaceae,Ptilotus,gaudichaudii,Ptilotus gaudichaudii,shrub
MN02,-31.0016,118.6928,PTISPA,,Amaranthaceae,Ptilotus,spathulatus,Ptilotus spathulatus,shrub
MN06,-31.7614,119.0734,PTIGAU,,Amaranthaceae,Ptilotus,gaudichaudii,Ptilotus gaudichaudii,shrub
MN10,-31.2446,118.4078,PTIGAU,,Amaranthaceae,Ptilotus,gaudichaudii,Ptilotus gaudichaudii,shrub
MN12,-31.1688,118.4388,PTIHOL,,Amaranthaceae,Ptilotus,holosericeus,Ptilotus holosericeus,shrub
MN13,-31.1478,118.4757,PTIGAU,,Amaranthaceae,Ptilotus,gaudichaudii,Ptilotus gaudichaudii,shrub
MN14,-31.1778,118.4281,PTIHOL,,Amaranthaceae,Ptilotus,holosericeus,Ptilotus holosericeus,shrub
MO02,-29.4786,116.2083,PTIEXA,,Amaranthaceae,Ptilotus,exaltatus,Ptilotus exaltatus,shrub
MO03,-29.2445,116.1022,PTIGAU,,Amaranthaceae,Ptilotus,gaudichaudii,Ptilotus gaudichaudii,shrub
MO03,-29.2445,116.1022,PTIOBO,,Amaranthaceae,Ptilotus,obovatus,Ptilotus obovatus,shrub
MO07,-29.1102,116.1975,PTIOBO,,Amaranthaceae,Ptilotus,obovatus,Ptilotus obovatus,shrub
MO10,-29.2593,116.3849,PTIGAU,,Amaranthaceae,Ptilotus,gaudichaudii,Ptilotus gaudichaudii,shrub
MO10,-29.2593,116.3849,PTIOBO,,Amaranthaceae,Ptilotus,obovatus,Ptilotus obovatus,shrub
MO12,-29.1893,116.4742,PTIOBO,,Amaranthaceae,Ptilotus,obovatus,Ptilotus obovatus,shrub
MO12,-29.1893,116.4742,PTIGAU,,Amaranthaceae,Ptilotus,gaudichaudii,Ptilotus gaudichaudii,shrub
MO12,-29.1893,116.4742,PTIEXA,,Amaranthaceae,Ptilotus,exaltatus,Ptilotus exaltatus,shrub
MO17,-28.8976,115.8592,PTIGAU,,Amaranthaceae,Ptilotus,gaudichaudii,Ptilotus gaudichaudii,shrub
MO17,-28.8976,115.8592,PTIHOL,,Amaranthaceae,Ptilotus,holosericeus,Ptilotus holosericeus,shrub
NO01,-28.5696,114.6414,PTIDEC,,Amaranthaceae,Ptilotus,declinatus,Ptilotus declinatus,shrub
NO07,-28.0001,114.6315,PTIGAU,,Amaranthaceae,Ptilotus,gaudichaudii,Ptilotus gaudichaudii,shrub
NO07,-28.0001,114.6315,PTIOBO,,Amaranthaceae,Ptilotus,obovatus,Ptilotus obovatus,shrub
NO11,-27.9906,114.1931,PTIGAU,,Amaranthaceae,Ptilotus,gaudichaudii,Ptilotus gaudichaudii,shrub
NO18,-28.1707,114.6455,PTISTI,,Amaranthaceae,Ptilotus,stirlingii,Ptilotus stirlingii,shrub
NR03,-32.7828,116.865,PTIMAN,,Amaranthaceae,Ptilotus,manglesii,Ptilotus manglesii,shrub
NR04,-32.8108,116.8897,PTIMAN,,Amaranthaceae,Ptilotus,manglesii,Ptilotus manglesii,shrub
NR06,-33.0528,117.2408,PTIMAN,,Amaranthaceae,Ptilotus,manglesii,Ptilotus manglesii,shrub
NR10,-32.7533,116.9453,PTIMAN,,Amaranthaceae,Ptilotus,manglesii,Ptilotus manglesii,shrub
NR14,-32.7571,116.8546,PTIDEC,,Amaranthaceae,Ptilotus,declinatus,Ptilotus declinatus,shrub
NR19,-32.7389,117.1574,PTIMAN,,Amaranthaceae,Ptilotus,manglesii,Ptilotus manglesii,shrub
NR22,-32.7464,117.1644,PTIDEC,,Amaranthaceae,Ptilotus,declinatus,Ptilotus declinatus,shrub
NR22,-32.7464,117.1644,PTIHUM,,Amaranthaceae,Ptilotus,humilis,Ptilotus humilis,shrub
